名称,地理位置1,地理位置2,地理位置3,房型,面积,均价,总价
K2十里春风,通州,通州其它,永乐店镇漷小路百菜玛工业园对面,,155,28000,434.0
K2十里春风,通州,通州其它,永乐店镇漷小路百菜玛工业园对面,2室,74,24500,181.3
万年广阳郡九号,房山,长阳,长阳清苑南街与汇商东路交汇处西北角,3室,166,50000,830.0
万科弗农小镇,密云,溪翁庄镇,密关路西侧（密云水库南岸2公里）,3室,140,25000,350.0
万科雲庐,丰台,丰台其它,魏各庄路万科雲庐,4室,135,37000,499.5
万科雲庐,丰台,丰台其它,魏各庄路万科雲庐,4室,200,37000,740.0
世茂北京天誉,丰台,十里河,北京市丰台区小红门路312号,3室,145,120000,1740.0
东叁金茂府,丰台,十里河,东三环分钟寺桥南约500米,4室,125,107500,1343.75
中冶德贤公馆,大兴,旧宫,德贤东路6号院（南四环榴乡桥东南角800米）,0室,134,77000,1031.8
中国铁建·梧桐浅山,平谷,平谷其它,北京市平谷区东南路夏各庄卫生院对面,2室,90,15000,135.0
中国铁建澜廷墅,房山,房山其它,阎吕路中国铁建·山语澜廷,4室,223,28000,624.4
中国铁建澜廷墅,房山,房山其它,阎吕路南侧（北京市第十三中学西北300米处）,3室,75,32000,240.0
中国铁建花语金郡,大兴,瀛海,南海子公园西侧(南五环旧忠桥向南第二个红绿灯西300米),3室,150,70000,1050.0
中建·京西印玥,房山,良乡,阳光北大街中建·京西印玥,2室,73,43000,313.9
中建·长安麓府,门头沟,冯村,泰安路中建·长安麓府,2室,70,58000,406.0
中建国望府,丰台,丰台其它,射击场路中建国望府,5室,314,77547,2435
中海丽春湖墅·合院,昌平,沙河,地铁昌平线沙河地铁站南600米,4室,263,36000,946.8
中海云熙,大兴,大兴其它,魏善庄新城南中轴路东侧500米,2室,76,37700,286.52
中海云筑,大兴,大兴新机场,京开高速庞各庄桥西1500米，团结路北（庞各庄镇宏轩饺子馆儿对面）,3室,266,37000,984.2
中海云筑,大兴,大兴新机场,北京市大兴区团结路,3室,89,37000,329.3
中海京叁號院,大兴,大兴其它,博兴八路与兴海路交叉口,3室,168,70000,1176.0
中海寰宇视界,房山,长阳,北京市房山区轨道交通房山线稻田地铁站南侧200米处,1室,53,58000,307.4
中海甲叁號院,丰台,玉泉营,丰台恒丰路,3室,145,109000,1580.5
中海首开拾光里,朝阳,中央别墅区,朝阳区金盏南路，金港国际赛车场东侧,3室,140,70000,980.0
中粮京西祥云,房山,长阳,地铁稻田站北800米，西邻京深路,4室,115,58000,667.0
中粮天恒天悦壹号,丰台,西红门,南四环地铁新宫站南500米,4室,220,85000,1870.0
中铁华侨城和园,大兴,瀛海,南五环南海子公园西侧约500米,3室,154,60000,924.0
中铁诺德阅墅,顺义,中央别墅区,顺义区后沙峪优山美地D区西北侧,4室,220,62000,1364.0
中骏云景台,房山,房山其它,官道西大街与良常路交叉口,2室,75,28000,210.0
中骏西山天璟,门头沟,城子,西山永定楼北300米,4室,117,65000,760.5
亦庄橡树湾,通州,马驹桥,马驹桥镇亦庄新城漷马路与兴华南街交汇处东300米,1室,66,45000,297.0
京投发展·锦悦府,密云,鼓楼街道,檀营乡檀东路西侧,3室,187,25607,478.8509
京投发展·锦悦府,密云,鼓楼街道,檀营乡檀东路西侧,3室,79,25607,202.2953
京西悦府,房山,阎村,北京市房山区燕房线阎村地铁站东南角约189米,3室,175,50000,875.0
京西悦府,房山,阎村,燕房线阎村地铁站东南角约189米,3室,120,33000,396.0
京贸国际公馆,通州,九棵树(家乐福),怡乐中路299号院（广渠快速路二期出口向南1000米）,1室,72,64000,460.8
京贸国际城·峰景,通州,武夷花园,芙蓉东路1号（通燕高速耿庄桥北出口向南300米）,1室,69,68000,469.2
住总兴创如遇,大兴,大兴新机场洋房别墅区,采华路与育镇街交叉路口往西北约100米(采育文化广场西南侧约100米),1室,53,27000,143.1
住总如院,大兴,大兴新机场洋房别墅区,北京市大兴区采华路(波尔多小镇南区西南侧约250米),2室,98,31000,303.8
住总如院,大兴,大兴新机场洋房别墅区,北京市大兴区采华路(波尔多小镇南区西南侧约250米),3室,240,22728,545.472
住总正华·时代广场,大兴,天宫院,地铁4号线生物医药基地站南200米,0室,61,55000,335.5
保利绿城·和锦诚园,大兴,瀛海,8号线南段地铁站东1.6公里,4室,130,63000,819.0
保利锦上,朝阳,垡头,化工路保利锦上,3室,114,71000,809.4
元熙华府,丰台,宋家庄,东南三环东铁营桥向南600米,3室,126,87000,1096.2
公园十七区,顺义,后沙峪,顺义区后沙峪火沙路和裕庆路交汇口北500米,4室,90,55000,495.0
公园都会,顺义,顺义其它,北京顺义区顺泰路与外环路交汇处,2室,72,39000,280.8
兴创荣墅,大兴,大兴新机场洋房别墅区,北京市大兴区育胜街,3室,240,23000,552.0
凯德麓语,昌平,昌平其它,兴寿镇京承高速G11出口向西怀昌路北侧,3室,280,35000,980.0
北京东湾,通州,万达,通惠北路98号,1室,58,69600,403.68
北京华发中央公园,房山,良乡,北京市房山区良乡大学城站南900米,3室,85,41000,348.5
北京城建·府前龙樾,怀柔,怀柔,北京市怀柔区府前东街,3室,106,43550,461.63
北京城建·龙樾西山,门头沟,冯村,长安街西延线南约300米,4室,118,48000,566.4
北京城建北京合院,顺义,顺义其它,燕京街与通顺路交汇口东800米(仁和公园南),3室,95,47000,446.5
北京城建北京合院,顺义,顺义其它,燕京街与通顺路交汇口东800米(仁和公园南),4室,210,45000,945.0
北京城建宽院国誉府,大兴,大兴新机场洋房别墅区,南北大街与育镇街交叉口西南200米,4室,130,31000,403.0
北京城建宽院国誉府,大兴,大兴新机场洋房别墅区,南北大街与育镇街交叉口西南200米,4室,152,31000,471.2
北京壹号总部,大兴,亦庄,台湖镇光机电一体化产业基地科创东二街5号,1室,3127,28000,8755.6
北京庄园,顺义,顺义其它,京承高速第11出口往东800米,4室,460,167000,7682
北京风景,昌平,东关,"京藏高速30出口（昌平城区）向东，南环大桥东1000米, 双营西路67号院",0室,95,43000,408.5
北科建·翡翠华府,怀柔,怀柔,中高路与乐园大街交叉口北150米,1室,37,39000,144.3
北科建泰禾丽春湖院子,昌平,沙河,中关村北延新核心，沙河水库边（地铁昌平线沙河站向南800米）,4室,379,50000,1895.0
北辰墅院1900,顺义,马坡,顺兴街11号院望尊园,4室,251,42000,1054.2
华樾国际领尚,朝阳,朝阳其它,朝阳区东风乡楼梓庄桥西300米路南,2室,75,71000,532.5
华萃西山,门头沟,门头沟其它,永定镇地铁S1号线石厂西南700米,4室,83,47000,390.1
华萃西山,门头沟,门头沟其它,门头沟永定镇地铁S1号线石厂站西南700米,4室,135,52000,702.0
华远和墅,大兴,南中轴机场商务区,南六环磁各庄桥沿南中轴向南2公里,5室,295,54000,1593.0
华远裘马四季,门头沟,大峪,增产路16号院,3室,156,55000,858.0
合景泰富天汇,顺义,马坡,昌金路与通顺路交汇处,3室,89,33000,293.7
合生me悦,大兴,瀛海,旧忠路合生me悦,1室,58,63500,368.3
和悦春风,大兴,大兴新机场,庞各庄镇瓜乡路与永兴河交汇处,2室,76,37000,281.2
和棠瑞著,平谷,平谷其它,金海湖景区坝前广场西侧500米,3室,305,19000,579.5
国瑞熙墅,昌平,北七家,北七家镇岭上西路与定泗路交汇处东南角,3室,314,48000,1507.2
国祥府,密云,鼓楼街道,檀西路与新北路交汇处向北约400米,2室,75,26000,195.0
国誉万和城,丰台,青塔,西四环14号线大瓦窑站北300m,4室,140,82000,1148.0
国锐金嵿,亦庄开发区,亦庄,荣华南路1号院,5室,285,80000,2280.0
国风金海,平谷,平谷其它,平蓟路与环镇东路交汇,1室,53,22000,116.6
城市之光·东望,通州,通州其它,北京市通州区嘉秀东路,3室,70,51585,361.095
天恒世界集,大兴,高米店,盛坊路1号院,0室,60,55000,330.0
天樾书院,昌平,昌平其它,北京市昌平区北七家镇定泗路99号,4室,270,40000,1080.0
天润福熙大道,朝阳,北苑,"清河营东路1号院, 清河营东路3号院",6室,436,110000,4796.0
天竺悦府,顺义,天竺,北京市顺义区府前一街38号,3室,125,58000,725.0
天资华府,房山,长阳,房山区CSD政务大厅5号门,3室,115,38000,437.0
天资陸号院,房山,长阳,昊天北大街天资陸号院,1室,52,39000,202.8
奥园雲水院,密云,溪翁庄镇,密云区Y753(走石路),3室,111,22000,244.2
奥园雲水院,密云,溪翁庄镇,溪翁庄镇,3室,120,25000,300.0
富兴首府,朝阳,东坝,东坝路9号东北60米,4室,144,85000,1224.0
尊悦光华,朝阳,CBD,北京市朝阳区光华东里甲1号院3号楼,3室,133,130000,1729.0
建邦·顺颐府,顺义,后沙峪,空港B区裕民大街30号,3室,270,55583,1500.741
建邦·顺颐府,顺义,后沙峪,空港B区裕民大街30号千里马国际一层建邦·顺颐府售楼中心,3室,89,55583,494.6887
