区域,楼盘名称,总价,面积,单价
东城,08年商品房，小户型，2梯6户，集中供暖，有门禁,460万,27.38平米,"168,006元/平"
东城,70年产权商品房 精装修 有燃气 满五年唯一 朝南,619万,63.35平米,"97,712元/平"
东城,东二环 东直门外大街 春秀路小区中国港湾家属楼,685万,60.63平米,"112,981元/平"
东城,东二环 西水井胡同 东西通透 正规两居室 电梯房,738万,74.95平米,"98,466元/平"
东城,东二环 阳光都市 紧挨工体三里屯,2200万,240.55平米,"91,458元/平"
东城,东二环内中间楼层，东南两居满五年，电梯楼。,628万,59.87平米,"104,894元/平"
东城,东交民巷 满五唯一 中高层 独立小区 可免费停车,620万,49.38平米,"125,557元/平"
东城,东单 金宝街 东堂子 中间楼层 户型好 诚意出售,525万,44.32平米,"118,457元/平"
东城,东南三居室 全天采光 封闭式管理 人车分流 距地铁50米,1130万,97.45平米,"115,957元/平"
东城,东四十条  二环里大两居  独门独院   业主诚售,750万,73.09平米,"102,614元/平"
东城,东四地铁 板楼 精装小户型  低层双南二居 东四西大街,668万,52.17平米,"128,043元/平"
东城,东城 西革新里110号院 满五年唯一,362万,44.44平米,"81,459元/平"
东城,东城二环里新改造小区靠公园地铁,430万,45.59平米,"94,319元/平"
东城,东城二环里长安街畔，70年产权，贡院九号，精装,1480万,156.83平米,"94,370元/平"
东城,东城区  南北通透两居室 中间层,535万,72.8平米,"73,490元/平"
东城,东城区  小两居室 近地铁 精装修 满五年唯一,529万,64.56平米,"81,940元/平"
东城,东城区 09年商品房社区 东向两居室,666万,80.77平米,"82,457元/平"
东城,东城区 2001年商品房 南向两居 双阳台 满五唯一,913万,114.17平米,"79,969元/平"
东城,东城区 2015   朝南两居  精装修,588万,71.35平米,"82,411元/平"
东城,东城区 向新西里 全南2居 满五唯一诚心出售,528万,54.47平米,"96,935元/平"
东城,东城区 定安里  南北通透两居室,450万,57.3平米,"78,535元/平"
东城,东城区 悠胜美苑 03年新楼 商品房 视野好,545万,70.17平米,"77,669元/平"
东城,东城区 次新小区 一梯四户 使用面积大 东南向高层,698万,67.53平米,"103,362元/平"
东城,东城区东直门外  十字坡东里  田字格三居室 中间楼层,789万,72.37平米,"109,024元/平"
东城,东城区南北2居室，无遮挡采光好,485万,68.62平米,"70,680元/平"
东城,东城区和平里中街3号院   户型好,1130万,95.27平米,"118,611元/平"
东城,东城区崇文门 草厂八条  平房,270万,16.3平米,"165,645元/平"
东城,东城区崇文门国瑞城东区南北两居室,935万,79.57平米,"117,507元/平"
东城,东城区崇文门国瑞城中区 两居室朝东视野直观好,830万,69.69平米,"119,099元/平"
东城,东城区广渠家园 2009年楼龄 地铁7号线 板楼一梯三户,695万,62.34平米,"111,486元/平"
东城,东城区的一居室，南向无遮挡，有电梯，楼龄新,390万,47.25平米,"82,540元/平"
东城,东城区聚龙花园南北三居室满五唯一,1290万,180.58平米,"71,437元/平"
东城,东城区，90年钢混结构，户型方正，视野好，阳光充足,615万,79.39平米,"77,466元/平"
东城,东城区，三居，东南向，中间楼层，有车位！,725万,66.45平米,"109,105元/平"
东城,东城区，西南两居室高楼层无遮挡 满五年,880万,91.57平米,"96,102元/平"
东城,东城和平里两居带厅 封闭小区环境好 楼龄新,768万,65.82平米,"116,682元/平"
东城,东城和平里五区一居室  值得选择,555万,40.57平米,"136,801元/平"
东城,东城天天家园 板楼南北通透2居 一梯两户带电梯 采光好,960万,126.73平米,"75,752元/平"
东城,东城广渠门交管局家属楼电梯2居不临街视野开阔,756万,70.72平米,"106,901元/平"
东城,东城龙体区域南北通透2居室近龙潭湖公园,550万,48.22平米,"114,061元/平"
东城,东城，赵堂子胡同小区，精装自住，中粮和商务部家属楼,565万,41.66平米,"135,622元/平"
东城,东堂子胡同，精装修两居室，随时可看,568万,65.47平米,"86,758元/平"
东城,东直门 东城区 东方银座 西南向两居室,870万,113.17平米,"76,876元/平"
东城,东花市北里中区 3室2厅 南 北,1038万,100.27平米,"103,521元/平"
东城,东西通透  明厨明卫 中间楼层 临近公园 业主诚心出售,575万,52.95平米,"108,594元/平"
东城,东黄城根南街 南北通透 央产房满五年封闭式管理可停车,640万,58.3平米,"109,778元/平"
东城,中海紫御公馆  开发商精装两居 对小区花园,1150万,91.86平米,"125,191元/平"
东城,中海紫御公馆明厨明卫双南向大卧室两居,1028万,90.08平米,"114,121元/平"
东城,二环内新上东南两居室 诚心出售,660万,51.17平米,"128,982元/平"
东城,交道口北头条楼房 南北通透3居 满五唯一 随时看房,855万,69.99平米,"122,161元/平"
东城,京城仁合 不临二环不临火车 2018年装修 无遮挡采光好,1050万,114.51平米,"91,696元/平"
东城,京城仁合朝东向两居室没有遮挡视野开阔。,1100万,100.14平米,"109,847元/平"
东城,人车分流，环境好、高层，楼层好、东西不临街，景观好,1600万,139.17平米,"114,968元/平"
东城,仓南胡同小区，南北通透无遮挡，视野开阔,750万,41.88平米,"179,084元/平"
东城,位置优越，格局方正，公摊小，随时看房。,1589万,131.09平米,"121,215元/平"
东城,光明楼 南北通透两居室   中间楼层 不临街,588万,54.19平米,"108,508元/平"
东城,全南向 无遮挡 精装修 周边配套齐全 诚心出售,688万,58.45平米,"117,708元/平"
东城,兴隆都市馨园全南两居，双阳台，得房率92%,798万,72.73平米,"109,721元/平"
东城,北二环  东河沿  精装修  电梯直达 两室一厅,752万,59.68平米,"126,006元/平"
东城,北二环 2006年社区 房子精装修 满两年,898万,81.74平米,"109,861元/平"
东城,北官厅胡同甲2号院，民政局家属院，南北通透,710万,57.12平米,"124,300元/平"
东城,北河沿大街 中间楼层东向两居室,666万,53.03平米,"125,590元/平"
东城,华城滨河世家 满五唯一  明厨双卫,1228万,102.54平米,"119,759元/平"
东城,华城滨河世家+高层大一居+两居格局+满五唯一+钥匙房,830万,66.1平米,"125,568元/平"
东城,协和胡同 户型方正 产权清晰 无抵押,265万,15.1平米,"175,497元/平"
东城,南北通透两居，视野采光好，有物业管理,608万,58.61平米,"103,737元/平"
东城,南北通透大一居，高楼层，没遮挡，满五年业主随时签约,595万,54.46平米,"109,255元/平"
东城,南岗子  南向  采光充足  视野宽阔,439万,41.34平米,"106,193元/平"
东城,双玉中街43号院 一梯两户 南北通透三居室 明厨明卫,820万,78平米,"105,129元/平"
东城,和平里七区 西南朝向 田字格户型,899万,74.4平米,"120,834元/平"
东城,和平里七区满五年央产双南向两居,682万,50.65平米,"134,650元/平"
东城,和平里三区 1室1厅 南 北,645万,43.69平米,"147,632元/平"
